RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
IJJP.PK;US44963Q2049;IJJ Corp;Technology;USA
FTRK.PK;US31188W1080;Sauer Energy Inc;Energy;USA
FOMC.PK;US3444291054;Fomo Corp;Industrials;USA
FNGR.PK;US31788K1088;FingerMotion Inc;Technology;USA
PPJE.PK;US69353D5059;PPJ Healthcare Enterprises Inc;Technology;USA
FTXP.PK;US34512J1088;Foothills Exploration Inc;Energy;USA
SEEK.PK;US88337U1025;TheDirectory.com Inc;Technology;USA
RIII.PK;US7599581011;Renavotio Inc;Industrials;USA
BOPO.PK;US09072L2060;Biopower Operations Corp;Energy;USA
DGTW.PK;US25400E1029;DigitalTown Inc;Technology;USA
RDAR.PK;US74979T2078;RAADR Inc;Technology;USA
ATGN.PK;US0214891097;Altigen Communications Inc;Technology;USA
YAYO.PK;US9852941072;EVMO Inc;Technology;USA
INVU.PK;US46183W1018;Investview Inc;Industrials;USA
AERG.PK;US03819M1062;Applied Energetics Inc;Industrials;USA
BSTK.PK;US11041N2062;Brite-Strike Tactical Illumination Products Inc;Industrials;USA
ODII.PK;US67613M1099;Odyssey Semiconductor Technologies Inc;Technology;USA
BOTY.PK;US5357421008;Lingerie Fighting Championships Inc;Industrials;USA
AXAS.PK;US0038303048;Abraxas Petroleum Corp;Energy;USA
UNQL.PK;US90917G1076;Unique Logistics International Inc;Industrials;USA
INCC.PK;US4593571098;International Consolidated Companies Inc;Technology;USA
GSFI.PK;US3934131091;Green Stream Holdings Inc;Energy;USA
VXIT.PK;US92767Q1022;VirExit Technologies Inc;Industrials;USA
PASO.PK;US70324A2087;Patient Access Solutions Inc;Technology;USA
LSYN.PK;US53013F1003;Liberated Syndication Inc;Technology;USA
WEBC.PK;US9476212074;Webco Industries Inc;Industrials;USA
MONI.PK;US6154301054;Moon Equity Holdings Corp;Energy;USA
GASE.PK;US3672471030;Gase Energy Inc;Energy;USA
NEOV.PK;US6406551068;NeoVolta Inc;Industrials;USA
MAXD.PK;US57776X1090;Max Sound Corp;Technology;USA
GTVH.PK;US38123L1052;Golden Triangle Ventures Inc;Industrials;USA
ELRA.PK;US29015T7028;Elray Resources Inc;Technology;USA
MSMY.PK;US5526811089;MC Endeavors Inc;Industrials;USA
MITI.PK;US60672T1079;Mitesco Inc;Technology;USA
ONCI.PK;US6822032032;On4 Communications Inc;Technology;USA
MAPT.PK;US56564U1034;Maptelligent Inc;Technology;USA
UTRK.PK;US9138751006;Universal Tracking Solutions Inc;Industrials;USA
DLTI.PK;US23342U1025;DLT Resolution Inc;Technology;USA
ECDP.PK;US27885L4032;Eco Depot Inc;Technology;USA
AFFU.PK;US00829V1008;Affluence Corp;Technology;USA
IMTL.PK;US45074L1098;Image Protect Inc;Technology;USA
CAPC.PK;US14070F2011;Capstone Companies Inc;Industrials;USA
TGRO.PK;US88674T1060;Tiger Oil and Energy Inc;Energy;USA
KAST.PK;US48583U1079;Kasten Inc;Technology;USA
SPZI.PK;US84915Q1004;Spooz Inc;Technology;USA
BASA.PK;US06975Q1004;Basanite Inc;Technology;USA
AGYP.PK;US0191512088;Allied Energy Corp;Energy;USA
SSOF.PK;US83012L1052;Sixty Six Oilfield Services Inc;Industrials;USA
SDVI.PK;US82668Y1064;Signature Devices Inc;Technology;USA
APSI.PK;US03790A1051;Aqua Power Systems Inc;Energy;USA
DDDX.PK;US88556A1007;3DX Industries Inc;Industrials;USA
EGYF.PK;US29268C1099;Energy Finders Inc;Energy;USA
MNDP.PK;US6261373012;Mundus Group Inc;Industrials;USA
TPII.PK;US8958171048;Triad Pro Innovators Inc;Industrials;USA
BYRG.PK;US12428A3041;Buyer Group International Inc;Industrials;USA
MSRT.PK;US57630J1060;Massroots Inc;Technology;USA
MEEC.PK;US59833H1014;Midwest Energy Emissions Corp;Industrials;USA
GTTN.PK;US3623931009;GTT Communications Inc;Technology;USA
PIOE.PK;US69372U2078;P10 Holdings Inc;Industrials;USA
IPSI.PK;US45783M1099;Innovative Payment Solutions Inc;Industrials;USA
WTII.PK;US94114G2093;Water Technologies International Inc;Industrials;USA
RETC.PK;US90118L2025;12 Retech Corp;Technology;USA
ICNM.PK;US45110Q1040;Icon Media Holdings Inc;Technology;USA
PBHG.PK;US69317R2022;PBS Holding Inc;Industrials;USA
FLES.PK;US35087R2013;4 Less Group Inc;Technology;USA
HIRU.PK;US4335701086;Hiru Corp;Industrials;USA
CGUD.PK;US1997511084;Com-Guard.Com Inc;Technology;USA
JZZI.PK;US4662993025;Jzz Technologies Inc;Technology;USA
HRBR.PK;US41150R1023;Harbor Diversified Inc;Industrials;USA
BURCA.PK;US1222951089;Burnham Holdings Inc;Industrials;USA
CLIS.PK;US18683A1034;Clickstream Corp;Industrials;USA
ASDN.PK;US04636R2031;Astro Aerospace Ltd;Industrials;USA
CRGE.PK;US1596101048;Charge Enterprises Inc;Technology;USA
NWTT.PK;US62948J1034;Nw Tech Capital Inc;Technology;USA
OPXS.PK;US68384X2099;Optex Systems Holdings Inc;Industrials;USA
MMEX.PK;US55314K5065;MMEX Resources Corp;Energy;USA
SMMR.PK;US87155J1088;Symmetry Technologies Inc;Technology;USA
WLAN.PK;US96685A1079;Wialan Technologies Inc;Technology;USA
DTGI.PK;US25375L2060;Digerati Technologies Inc;Technology;USA
PTOP.PK;US7054841033;Mobicard Inc;Technology;USA
OBTX.PK;US67441R1068;Everything Blockchain Inc;Technology;USA
GCEH.PK;US3789892060;Global Clean Energy Holdings Inc;Energy;USA
SCFR.PK;US8142593057;Security First International Holdings Inc;Technology;USA
MRNJ.PK;US59141K1016;Metatron Inc;Technology;USA
RWWI.PK;US7522461083;Rand Worldwide Inc;Technology;USA
TEUM.PK;US69946T2078;Pareteum Corp;Technology;USA
GTXO.PK;US3624082059;GTX Corp;Technology;USA
NEWH.PK;US6514511061;NewHydrogen Inc;Energy;USA
IGEN.PK;US45172B1026;IGEN Networks Corp;Technology;USA
ECEZ.PK;US2792192088;Ecosciences Inc;Industrials;USA
NUGS.PK;US13765M1099;Cannabis Strategic Ventures;Industrials;USA
IWSY.PK;US45245S1087;ImageWare Systems Inc;Technology;USA
GCEI.PK;US3789861032;Global Clean Energy Inc;Industrials;USA
SIGL.PK;US82662L2097;Signal Advance Inc;Technology;USA
SURG.PK;US86882L1052;Surgepays Inc;Technology;USA
IVDA.PK;US46583A1051;Iveda Solutions Inc;Industrials;USA
COUV.PK;US22004M1018;Corporate Universe Inc;Technology;USA
MTEI.PK;US6240111020;Mountain Energy Inc;Industrials;USA
BIOF.PK;US09530Q1022;Blue Biofuels Inc;Industrials;USA
HMNU.PK;US44485L1052;Human Unitec International Inc;Industrials;USA
PVSP.PK;US7157092005;Pervasip Corp;Technology;USA
SSFT.PK;US8354131059;Sonasoft Corp;Technology;USA
CYIO.PK;US23256Y1082;CYIOS Corp;Industrials;USA
ILIM.PK;US45173T1025;Il2m International Corp;Technology;USA
EPAZ.PK;US29413V6065;Auto Dataflow Inc;Technology;USA
SNMN.PK;US78461L2007;SNM Gobal Holdings;Industrials;USA
AFAP.PK;US0010381087;AFA Protective Systems Inc;Technology;USA
REOS.PK;US7602591015;ReoStar Energy Corp;Energy;USA
EFIR.PK;US2684874025;EGPI Firecreek Inc;Energy;USA
GTCH.PK;US3615481005;Gbt Technologies Inc;Technology;USA
MDMP.PK;US55282P1075;Mdm Permian Inc;Energy;USA
BDGR.PK;US09202T1034;Black Dragon Resource Companies Inc;Energy;USA
QBAN.PK;US8792091048;Telco Cuba Inc;Technology;USA
PCTL.PK;US69325A1007;PCT Ltd;Industrials;USA
PMPG.PK;US74056P1021;Premier Products Group Inc;Technology;USA
GZIC.PK;US36258T1097;GZ6G Technologies Corp;Technology;USA
EVRC.PK;US2997591001;Evercel Inc;Technology;USA
ITMC.PK;US4657212076;Itoco Inc;Energy;USA
CRSM.PK;US14575N1054;Smartt Inc;Technology;USA
APLD.PK;US0381691080;Applied Blockchain Inc;Technology;USA
MGUY.PK;US60801P3073;Mogul Energy International Inc;Energy;USA
UMAV.PK;US9025781033;UAV Corp;Industrials;USA
HOMU.PK;US4416931081;Houmu Holdings Ltd;Technology;USA
KTEL.PK;US50050T1007;KonaTel Inc;Technology;USA
TTCM.PK;US8767031094;Tautachrome Inc;Technology;USA
RRRT.PK;US74979L1052;R-Three Technologies Inc;Industrials;USA
NXGT.PK;US65290B1070;Nexteligent Holdings Inc;Technology;USA
UTRX.PK;US9132871081;Unitronix Corp;Industrials;USA
XTRM.PK;US30227J1025;Extreme Biodiesel Inc;Energy;USA
CBTC.PK;US98422A1016;XTRA Bitcoin Inc;Technology;USA
SMME.PK;US83171T1051;Smartmetric Inc;Technology;USA
CNRD.PK;US2083051027;Conrad Industries Inc;Industrials;USA
CANN.PK;US36930V1008;General Cannabis Corp;Industrials;USA
NUVR.PK;US67075V1008;Nuvera Communications Inc;Technology;USA
WHEN.PK;US98148H1095;World Health Energy Holdings Inc;Technology;USA
SUTI.PK;US86936P3001;Sutimco International Inc;Industrials;USA
DFTC.PK;US2446391003;Defentect Group Inc;Technology;USA
KNOS.PK;US50105X1063;Kronos Advanced Technologies Inc;Industrials;USA
PSSS.PK;US74535W1080;Puissant Industries Inc;Energy;USA
PVRS.PK;US74378L2016;Providence Resources Inc;Energy;USA
BRLL.PK;US0684281019;Barrel Energy Inc;Energy;USA
UAMM.PK;US90255U1060;Ua Multimedia Inc;Technology;USA
QENC.PK;US74823U1034;Queench Holdings Ltd;Industrials;USA
HENC.PK;US42771W1080;Hero Technologies Inc;Energy;USA
WPUR.PK;US9418451095;Waterpure International Inc;Industrials;USA
DIGI.PK;US2538951060;Digitiliti Inc;Technology;USA
RPMT.PK;US7591411043;Rego Payment Architectures Inc;Technology;USA
MCCK.PK;US5908293054;Mestek Inc;Industrials;USA
OCLN.PK;US6862284048;OriginClear Inc;Industrials;USA
TRNF.PK;US87621P2092;Taronis Fuels Inc;Industrials;USA
ISGN.PK;US46436A2033;iSign Solutions Inc;Technology;USA
SIMP.PK;US82901A1051;Simply Inc;Technology;USA
DCAC.PK;US2362582080;Daniels Corporate Advisory Company Inc;Industrials;USA
CRWG.PK;US22787P1075;Crowdgather Inc;Technology;USA
TOOD.PK;US8836723051;Thermwood Corp;Industrials;USA
VGID.PK;US9182251036;V Group Inc;Technology;USA
GDSI.PK;US37944K1060;Global Digital Solutions Inc;Industrials;USA
QGSI.PK;US74767M1099;Quantgate Systems Inc;Technology;USA
PRKR.PK;US7013543001;ParkerVision Inc;Technology;USA
IFBC.PK;US4652931084;Italian Food & Beverage Corp;Technology;USA
SDEC.PK;US83191W1045;Smart Decision Inc;Technology;USA
QUAN.PK;US74766H1014;Quantum International Corp;Technology;USA
ODYY.PK;US67612C1027;Odyssey Group Of Companies;Industrials;USA
FSCR.PK;US3138191040;Federal Screw Works;Industrials;USA
CETY.PK;US18452H1077;Clean Energy Technologies Inc;Industrials;USA
RSKIA.PK;US7677202043;George Risk Industries Inc;Technology;USA
CIBY.PK;US12543Y1047;CIBL Inc;Technology;USA
AERS.PK;US00767A1007;Aerius International Inc;Industrials;USA
PHOT.PK;US39985X2036;GrowLife Inc;Industrials;USA
GORL.PK;US3827841061;Gordon I Realty;Industrials;USA
PDER.PK;US6994371093;Pardee Resources Co;Energy;USA
LBUY.PK;US52177H1005;Leafbuyer Technologies Inc;Technology;USA
GRNH.PK;US39526G1076;Greengro Technologies Inc;Industrials;USA
BLPG.PK;US09568Q3056;Blue Line Protection Group Inc;Industrials;USA
CYAP.PK;US23248E3018;Cyber Apps World Inc;Energy;USA
PCLI.PK;US74372C1080;Protocall Technologies Inc;Technology;USA
ELVG.PK;US2903931077;Elvictor Group Inc;Industrials;USA
UNRG.PK;US9109002082;United Energy Corp;Energy;USA
PGNT.PK;US69912T1088;Paragon Technologies Inc;Industrials;USA
JETR.PK;US8551401099;Star Jets International Inc;Industrials;USA
GTAT.PK;US36191U2050;GT Advanced Technologies Inc;Technology;USA
BNOW.PK;US09858Y1091;Vision Plasma Systems Inc;Industrials;USA
VPLM.PK;US92862Y1091;Voip-Pal.Com Inc;Technology;USA
CCTL.PK;US1925891095;Coin Citadel;Technology;USA
EXCE.PK;US2692796004;EXCO Resources Inc;Energy;USA
EXBX.PK;US30208Q1094;Exobox Technologies Corp;Technology;USA
CCTC.PK;US18450P2002;Clean Coal Technologies Inc;Industrials;USA
SRBT.PK;US81946R1077;Shanrong Biotechnology Corp;Industrials;USA
STJO.PK;US85231M1036;St Joseph Inc;Industrials;USA
SHRG.PK;US8195361030;Sharing Services Global Corp;Technology;USA
IAIC.PK;US4566961037;Information Analysis Inc;Technology;USA
SUIC.PK;US8293541095;Sino United Worldwide Consolidated Ltd;Energy;USA
PSYC.PK;US3794001046;Global Payout Inc;Industrials;USA
PTEL.PK;US7055791005;Pegasus Tel Inc;Technology;USA
DLPX.PK;US24712X1063;Delphax Technologies Inc;Industrials;USA
BUKS.PK;US1237201041;Butler National Corp;Industrials;USA
MNVN.PK;US60921T2050;Mondial Ventures Inc;Energy;USA
CSLI.PK;US22675T1043;Critical Solutions Inc;Industrials;USA
AUSI.PK;US0515263095;Aura Systems Inc;Industrials;USA
TRSI.PK;US8970671041;Trophy Resources Inc;Energy;USA
DTRK.PK;US2381342094;DATATRAK International Inc;Technology;USA
SODI.PK;US8342562084;Solitron Devices Inc;Technology;USA
DGWR.PK;US24373L1026;Deep Green Waste & Recycling Inc;Industrials;USA
SRNW.PK;US8631011017;Stratos Renewables Corp;Industrials;USA
XDSL.PK;US62472C2017;mPhase Technologies Inc;Industrials;USA
GSPE.PK;US40273W1053;GulfSlope Energy Inc;Energy;USA
ILAL.PK;US4597411044;International Land Alliance Inc;Industrials;USA
NEIK.PK;US66704D1019;Northstar Electronics Inc;Technology;USA
DTII.PK;US24464F2048;Defense Technologies International Corp;Technology;USA
NDVN.PK;US63948R1032;nDivision Inc;Technology;USA
STTX.PK;US86280B1052;Stratex Oil & Gas Holdings Inc;Energy;USA
DROP.PK;US36113J3041;Fuse Science Inc;Industrials;USA
TREP.PK;US89778T1097;Trucept Inc;Industrials;USA
IENT.PK;US45169Q1040;iEntertainment Network Inc;Technology;USA
HMMR.PK;US40829T1016;Hammer Fiber Optics Holdings Corp;Technology;USA
EXOD.PK;US30209R1068;Exodus Movement Inc;Technology;USA
RRTS.PK;US76973Q2049;Roadrunner Transportation Systems Inc;Industrials;USA
CRAWA.PK;US22511P1003;Crawford United Corp;Industrials;USA
WWII.PK;US9815661023;World of Wireless International Telecom Inc;Technology;USA
UCLE.PK;US91733U1060;US Nuclear Corp;Industrials;USA
SCNA.PK;US83186E1010;Smart Cannabis Corp;Technology;USA
MUEL.PK;US6247521015;Paul Mueller Co;Industrials;USA
AGGI.PK;US0191531054;Allied Energy Inc;Energy;USA
IHGP.PK;US45839W5076;Interact Holdings Group Inc;Industrials;USA
MJHI.PK;US55315W1036;MJ Harvest Inc;Technology;USA
RIHT.PK;US76658A1025;Rightscorp Inc;Technology;USA
CLOK.PK;US17253H1005;Cipherloc Corp;Technology;USA
OTTV.PK;US92852K2006;Viva Entertainment Group Inc;Technology;USA
OJOC.PK;US6781101075;Ojai Oil Co;Energy;USA
WSTL.PK;US9575413037;Westell Technologies Inc;Technology;USA
CRCW.PK;US22906C1027;Crypto Co;Technology;USA
ATYG.PK;US0494321070;Atlas Technology Group Inc;Technology;USA
ROFO.PK;US77316P1012;Rockford Corp;Technology;USA
IEHC.PK;US44949K1079;IEH Corp;Technology;USA
SCWO.PK;US88583P1049;374Water Inc;Industrials;USA
CVAT.PK;US14964W1045;Cavitation Technologies Inc;Industrials;USA
SCIA.PK;US78402S1087;SCI Engineered Materials Inc;Technology;USA
ITOX.PK;US44963M1045;Iiot-Oxys Inc;Technology;USA
MDTC.PK;US58448P1021;Media Technologies Inc;Technology;USA
ABCE.PK;US00287V4023;ABCO Energy Inc;Energy;USA
ECOX.PK;US27888Q1022;Eco Innovation Group Inc;Industrials;USA
MGON.PK;US58517C3051;Megola Inc;Industrials;USA
FWAV.PK;US35131P1021;Fourth Wave Energy Inc;Energy;USA
AVRI.PK;US05359R2058;Averox Inc;Technology;USA
GEGI.PK;US37185B1044;Genesis Electronics Group Inc;Energy;USA
AGSO.PK;US00855Q1085;AgriSolar Solutions Inc;Industrials;USA
AWRY.PK;US0172301030;Allegheny and Western Railway Co;Industrials;USA
FONU.PK;US30255C2017;Fonu2 Inc;Industrials;USA
ATWT.PK;US0500552015;ATWEC Technologies Inc;Technology;USA
SCOND.PK;US1847911013;Clearday Inc;Technology;USA
AFTC.PK;US02151Q1058;Alternative Fuel Technologies Inc;Industrials;USA
BLGI.PK;US0918442098;BLGI Inc;Technology;USA
RGST.PK;US7753671053;Rogue Station Companies Inc;Industrials;USA
DBMG.PK;US24024P1066;DBM Global Inc;Industrials;USA
HNRC.PK;US44228P1084;Houston Natural Resources Corp;Industrials;USA
HXPN.PK;US4145402032;Harris Exploration Inc;Energy;USA
RELT.PK;US75955V1089;Reliant Holdings Inc;Industrials;USA
SPYR.PK;US85219Y1038;SPYR Inc;Technology;USA
UAPC.PK;US90933X1000;United American Petroleum Corp;Energy;USA
ADHC.PK;US02541R3003;American Diversified Holdings Corp;Industrials;USA
SGTB.PK;US8650431039;Kuboo Inc;Technology;USA
GSPT.PK;US38119W2061;Golden Star Enterprises Ltd;Industrials;USA
IGOI.PK;US4495933008;iGO Inc;Technology;USA
ACFN.PK;US0048481073;Acorn Energy Inc;Technology;USA
RKFL.PK;US77313J1088;Rocketfuel Blockchain Inc;Technology;USA
TAMG.PK;US8937752058;Transnational Group Inc;Industrials;USA
NWPN.PK;US67010T1034;Now Corp;Energy;USA
HTSC.PK;US42710U1060;Here To Serve Holding Corp;Technology;USA
TGAN.PK;US89386L1008;Transphorm Technology Inc;Technology;USA
STGC.PK;US85572Y1047;Startengine Crowdfunding Inc;Technology;USA
HMLA.PK;US43742A2096;Himalaya Technologies Inc;Energy;USA
CRMZ.PK;US2254261058;CreditRiskMonitor.Com Inc;Industrials;USA
RNWF.PK;US75971P1012;Renewal Fuels Inc;Energy;USA
AMMJ.PK;US0248701072;American Cannabis Company Inc;Industrials;USA
ADDC.PK;US0066982036;Addmaster Corp;Technology;USA
PSUD.PK;US71676G1085;Petrosun Inc;Energy;USA
IOTC.PK;US46225M1036;Iota Communications Inc;Technology;USA
PFNO.PK;US69912M4006;ParaFin Corp;Energy;USA
DCLT.PK;US2376012082;Data Call Technologies Inc;Technology;USA
MEIL.PK;US5915171079;Methes Energies International Ltd;Energy;USA
TAER.PK;US8764911017;Tarsier Ltd;Energy;USA
QBAK.PK;US74758R2085;Qualstar Corp;Technology;USA
LQWC.PK;US53222D2018;Lifequest World Corp;Industrials;USA
WSFT.PK;US96773L1061;Wikisoft Corp;Technology;USA
TAPM.PK;US8760372016;Tapinator Inc;Technology;USA
MKGP.PK;US5777001075;Maverick Energy Group Ltd;Energy;USA
VYON.PK;US92855W1027;Viyya Technologies Inc;Technology;USA
MMMW.PK;US5754161025;Mass Megawatts Windpower Inc;Energy;USA
ASTO.PK;US0463761090;Astro Communications Inc;Industrials;USA
NFPC.PK;US6662801025;Northfield Precision Instrument Corp;Industrials;USA
PIFR.PK;US7405131068;Premier Information Management Inc;Industrials;USA
FLXT.PK;US33938W2061;Flexpoint Sensor Systems Inc;Industrials;USA
LBAS.PK;US5395731053;Location Based Technologies Inc;Technology;USA
ROSN.PK;US77816E1010;Rosinbomb;Industrials;USA
PRRY.PK;US72705J1051;Planet Resource Recovery Inc;Industrials;USA
SOFO.PK;US83545R2076;Sonic Foundry Inc;Technology;USA
BCII.PK;US09368L1008;Blockchain Industries Inc;Technology;USA
BLMC.PK;US0902031006;Biloxi Marsh Lands Corp;Energy;USA
BLIS.PK;US0778271033;Treasure & Shipwreck Recovery Inc;Industrials;USA
THCT.PK;US87248Q1013;THC Therapeutics Inc;Industrials;USA
RLBY.PK;US7599031074;Reliability Inc;Industrials;USA
VMSI.PK;US92846K1007;Vita Mobile Systems Inc;Technology;USA
CNGT.PK;US13767H1086;Cannagistics Inc;Industrials;USA
SOLS.PK;US83425T2087;Sollensys Corp;Technology;USA
MFON.PK;US60743E2046;Mobivity Holdings Corp;Technology;USA
DGIX.PK;US2679121036;Dyna Group International Inc;Industrials;USA
GLFH.PK;US3633771023;Galenfeha Inc;Energy;USA
NVNT.PK;US6700851099;Novint Technologies Inc;Technology;USA
GCLT.PK;US36268P1057;GainClients Inc;Technology;USA
ADSV.PK;US01951W2052;Allied Security Innovations Inc;Technology;USA
BNET.PK;US09061Q3074;Bion Environmental Technologies Inc;Industrials;USA
OODH.PK;US6862721056;Orion Diversified Holding Co Inc;Industrials;USA
SCNG.PK;US78409C1062;Evolution Fuels Inc;Energy;USA
TSSI.PK;US87288V1017;TSS Inc;Industrials;USA
HENI.PK;US4334751009;Hinto Energy Inc;Energy;USA
SRNA.PK;US86887P1012;Surna Inc;Industrials;USA
MRPT.PK;US55607U1043;Macreport.Net Inc;Technology;USA
MVEN.PK;US88339B1026;Themaven Inc;Technology;USA
BLBX.PK;US09229E2046;Blackboxstocks Inc;Technology;USA
PGTK.PK;US6943471051;Pacific Green Technologies Inc;Industrials;USA
WELX.PK;US97424Q1067;Winland Holdings Corp;Industrials;USA
NMGC.PK;US6404972027;NeoMagic Corp;Technology;USA
EMPR.PK;US2920342043;Empire Petroleum Corp;Energy;USA
